store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
shu_116,שלי גבעתיים- מכתש,שופרסל,שופרסל שלי,116.0,בורוכוב 54,גבעתיים,5322205.0,32.07962235584178,34.80999527078125,5.469953056110802,7127
shu_117,שלי תל אביב-איכילוב,שופרסל,שופרסל שלי,117.0,ויצמן 6,תל אביב יפו,6423914.0,32.08066989803344,34.790138601474546,5.217226332214989,7242
shu_118,דיל אילת  הסתת,שופרסל,שופרסל דיל,118.0,הסתת 15 א תעשיה,אילת,8850415.0,29.5683498,34.9597588,-13.274716510895054,9301
shu_119,דיל מודיעין- סנטר,שופרסל,שופרסל דיל,119.0,צאלון   21,מודיעין מכבים רעות,0.0,31.9060575,35.0171739,-2.9998079916518137,6277
shu_121,יוניברס נהריה- לוחמי הגטאות,שופרסל,יוניברס,121.0,לוחמי הגטאות 36,נהריה,2244744.0,33.0011199,35.09698059999999,-3.38419929708406,8638
shu_122,דיל יבנה- ברוש דרך הים,שופרסל,שופרסל דיל,122.0,דרך הים 3,יבנה,8157014.0,31.8643673,34.7264833,-2.5830718329524807,8553
shu_123,דיל חולון- גולדה,שופרסל,שופרסל דיל,123.0,גולדה מאיר  7,חולון,5839101.0,32.0128283,34.7790294,-2.8565232315476927,7968
shu_124,יוניברס בת ים- אורט ישראל,שופרסל,יוניברס,124.0,אורט ישראל 25,בת ים,5959036.0,32.00892,34.746448,-3.3110575606829777,8578
shu_127,אקספרס טירת הכרמל,שופרסל,שופרסל אקספרס,127.0,הדולפין 1,טירת הכרמל,0.0,32.762127,34.97298,9.682747242912892,3533
shu_128,יוניברס טירת הכרמל- נחום חת,שופרסל,יוניברס,128.0,נחום חת 5,טירת הכרמל,35085.0,32.7830105,34.9601418,-3.15600362939866,8600
shu_129,יוניברס נתניה- המלאכה,שופרסל,יוניברס,129.0,רח' המלאכה 32,נתניה,4250567.0,32.28540284693322,34.860423865721465,-3.6006366511070427,7633
shu_130,דיל נתניה- קלאוזנר עמליה,שופרסל,שופרסל דיל,130.0,קלאוזנר 1,נתניה,0.0,32.30877746903207,34.875715239875355,-2.7597302500395564,7089
shu_131,אקספרס הוד השרון,שופרסל,שופרסל אקספרס,131.0,סוקולוב 37,הוד השרון,0.0,32.16571225904715,34.90176208105864,9.145805890783254,3724
shu_133,"יש חסד ביתר עילית-  הר""ן",שופרסל,יש חסד,133.0,"הר""ן 6 פינת פנים המאירים",ביתר עילית,9056506.0,31.7043471,35.1175965,-7.780329746412942,4657
shu_134,יוניברס מודיעין- ישפרו סנטר,שופרסל,יוניברס,134.0,ישפרו סנטר,מודיעין מכבים רעות,0.0,31.889990997218607,34.96250670987946,-3.4237068925818943,7605
shu_135,יוניברס אשקלון- פאור סנטר,שופרסל,יוניברס,135.0,צומת כפר סילבר,אשקלון,7929500.0,31.6748007,34.6060214,-3.293807276244639,8362
shu_139,דיל צפת-  דובק ויצמן,שופרסל,שופרסל דיל,139.0,ויצמן 20,צפת,1321736.0,32.9576669,35.4979823,-2.626229608543962,7867
shu_140,אקספרס תל חי,שופרסל,שופרסל אקספרס,140.0,תל חי 40,תל אביב יפו,0.0,32.07699716489422,34.77626703687426,9.89581672854515,3888
shu_141,דיל יוקנעם- שדרות רבין,שופרסל,שופרסל דיל,141.0,שדרות רבין 9,יקנעם,2060000.0,32.6424195,35.0924242,-2.8252576394719364,8606
shu_142,דיל זכרון- המייסדים,שופרסל,שופרסל דיל,142.0,המייסדים,זכרון יעקב,3095067.0,32.5730214,34.9540304,-2.577669873148294,8648
shu_144,דיל שבירו כפר סבא,שופרסל,שופרסל דיל,144.0,רפפורט 6,כפר סבא,,32.1920475,34.8916444,-2.9996924214033105,7786
shu_147,אקספרס זכרון,שופרסל,שופרסל אקספרס,147.0,ההנפה,זכרון יעקב,0.0,32.5686035,34.9551162,8.854246811729304,4939
shu_148,אקספרסמלצר רחובות,שופרסל,שופרסל אקספרס,148.0,מלצר 20,רחובות,0.0,31.90295469240869,34.82667939524262,9.985152628191063,4119
shu_150,"אקספרס רודנסקי ת""א",שופרסל,שופרסל אקספרס,150.0,רודנסקי 5,תל אביב יפו,,32.1206979,34.7927823,8.923066862032465,4273
shu_151,דיל רעננה- קניון רננים,שופרסל,שופרסל דיל,151.0,רח.המלאכה 2,רעננה,4366101.0,32.1974692,34.8791319,-2.97060321990732,7756
shu_152,דיל ערד- ישפרו המנוף,שופרסל,שופרסל דיל,152.0,המנוף 7,ערד,8909460.0,31.2482662,35.1958045,-2.810526374791343,7745
shu_153,דיל אופקים- ז'בוטינסקי,שופרסל,שופרסל דיל,153.0,זבוטינסקי 25,אופקים,8759908.0,31.3182278,34.6253776,-2.73312244924151,7328
shu_155,דיל צור יגאל- מרכז מסחרי,שופרסל,שופרסל דיל,155.0,מרכז מסחרי,צור יגאל,4486400.0,32.2189326,34.9815343,-2.862192401512817,8028
shu_159,דיל רמת הנשיא חיפה,שופרסל,שופרסל דיל,159.0,שלמה המלך 55,חיפה,0.0,32.8124983,34.9608358,-2.642999915259883,7727
shu_161,המפיץ סיטונאות אשדוד,שופרסל,Cash&Carry,161.0,הבושם 16,אשדוד,,31.82112871642435,34.66168908205065,-35.71304298090261,2326
shu_163,דיל שדרות- הפלדה,שופרסל,שופרסל דיל,163.0,הפלדה קניון אחים,שדרות,80100.0,31.5207301,34.594066,-2.3818027600596468,7707
shu_164,שלי רמת גן- ביאליק,שופרסל,שופרסל שלי,164.0,רח. ביאליק 76,רמת גן,5244136.0,32.0857925,34.8115272,6.444421887641076,6507
shu_166,יוניברס אקסטרה  אשדוד- הבושם,שופרסל,יוניברס,166.0,הבושם 7 א.ת. קלה,אשדוד,7761007.0,31.8180465,34.6622085,-3.319628748628276,8185
shu_168,שלי אשדוד- כינרת,שופרסל,שופרסל שלי,168.0,"שכונת י""א כנרת",אשדוד,7770071.0,31.7844314,34.6340866,6.570222023468991,7440
shu_169,אקספרס באר שבע,שופרסל,שופרסל אקספרס,169.0,אפרים לרון 20,באר שבע,0.0,31.231108299883353,34.767196173445065,9.928186162166712,5182
shu_171,אקספרס אוסטשינסקי,שופרסל,שופרסל אקספרס,171.0,אוסטשינסקי 15,כפר סבא,0.0,32.1722128,34.9043166,10.274116930473093,4722
shu_173,דיל כפר יונה,שופרסל,שופרסל דיל,173.0,נעמישמר,כפר יונה,0.0,32.320644,34.93599,-2.653261982388621,7942
shu_174,דיל ערד- קניון,שופרסל,שופרסל דיל,174.0,הקנאים 29,ערד,8902342.0,31.2597999,35.2088394,-2.5459574078628338,8221
shu_176,שערי רווחה ירושלים,שופרסל,שערי רווחה,176.0,לואיס ברנדס 3,ירושלים,,31.79217,35.2099448,-8.309695827121557,5455
shu_177,דיל מצפה רמון- בן גוריון,שופרסל,שופרסל דיל,177.0,מרכז מסחרי,מצפה רמון,8060000.0,30.612762,34.802429,-3.0536983085756764,6343
shu_179,"שופרסל אקספרס הרוא""ה רמת גן",שופרסל,שופרסל אקספרס,179.0,"רח' הרוא""ה 152",רמת גן,,32.074360359422805,34.82492058105363,10.264823116629005,4262
shu_180,דיל ק.מוצקין- בן גוריון,שופרסל,שופרסל דיל,180.0,שד' בן גוריון 84,קרית מוצקין,2642439.0,32.8406715,35.0804138,-2.851601451868152,7865
shu_181,דיל אשקלון- רמז,שופרסל,שופרסל דיל,181.0,דוד רמז 39,אשקלון,7853339.0,31.668009,34.5827367,-2.2484002499842424,8510
shu_182,יוניברס דימונה- גולדה מאיר,שופרסל,יוניברס,182.0,גולדה מאיר 1,דימונה,86000.0,31.074295,35.032371,-2.9784428401385785,8717
shu_183,דיל אשדוד- הרצל,שופרסל,שופרסל דיל,183.0,1 רח' הרצל,אשדוד,7745401.0,31.7936909,34.64089420000001,-2.935784356615209,7499
shu_184,"דיל ראשל""צ- זבוטינסקי",שופרסל,שופרסל דיל,184.0,זבוטינסקי 16,ראשון לציון,,31.9615072,34.800662,-2.924683406655496,7271
shu_186,אקספרס התשבי,שופרסל,שופרסל אקספרס,186.0,התשבי 9,חיפה,0.0,32.81601250000001,34.9778335,9.070179419609229,3660
shu_187,דיל קניון מעלה אדומים,שופרסל,שופרסל דיל,187.0,דרך קדם 5,מעלה אדומים,0.0,31.771535222294382,35.29840181084888,-2.449082389205231,8759
shu_188,דיל ירוחם- צבי בורנשטיין,שופרסל,שופרסל דיל,188.0,צבי בורנשטין,ירוחם,8050000.0,30.9883432,34.9272665,-2.8761370922102985,6555
shu_189,דיל פרדס חנה,שופרסל,שופרסל דיל,189.0,14 רחוב הבנים,פרדס חנה כרכור,0.0,32.4728028,34.9742001,-2.73780176249173,7693
shu_190,דיל חצור- הגלילית,שופרסל,שופרסל דיל,190.0,קניון גליל עליון,חצור,1030000.0,32.9813889,35.5561111,-2.728443171332346,7464
shu_193,"שלי ראשל""צ- מזרח",שופרסל,שופרסל שלי,193.0,שד' יעקב 50,ראשון לציון,7550903.0,31.95908129999999,34.8020886,5.518426124639107,6014
shu_195,יוניברס קריון- דרך עכו,שופרסל,יוניברס,195.0,דרך עכו  192,קרית ביאליק,2723211.0,32.842769822419335,35.09225064900311,-3.339736032855654,8401
shu_199,דיל בת ים- בלפור,שופרסל,שופרסל דיל,199.0,בלפור 25,בת ים,0.0,32.0290122,34.745195,-2.3277775686640245,6601
shu_203,יוניברס רמלה לוד- הצופית,שופרסל,יוניברס,203.0,הצופית 40,רמלה,0.0,31.932199,34.8890965,-2.899365905235701,9513
shu_205,יוניברס יהוד- אלטלף,שופרסל,יוניברס,205.0,אלטלף 4 א.ת יהוד,יהוד מונוסון,5621604.0,32.0257949,34.9009857,-3.482890480415367,8007
shu_207,יש אור יהודה - אליהו סעדו,שופרסל,יש בשכונה,207.0,אליהו סעדון 128,אור יהודה,6039727.0,32.0257793,34.859212,1.8642806865435775,3390
shu_208,דיל אילת נחל אורה,שופרסל,שופרסל דיל,208.0,ירושלים השלמה 52,אילת,0.0,29.564247303079448,34.94564769017903,-13.763406906522244,6094
shu_209,דיל אשקלון- רוטשילד,שופרסל,שופרסל דיל,209.0,אדמונד רוטשילד 8,אשקלון,7822602.0,31.687853873915714,34.57894650736695,-3.1583231798065436,6119
shu_210,"יוניברס ראשל""צ- שמוטקין",שופרסל,יוניברס,210.0,שמוטקין 30,ראשון לציון,7536333.0,31.9764175,34.8121871,-3.281507827114353,8237
shu_211,יוניברס כרמיאל- אזור התעשיה,שופרסל,יוניברס,211.0,א.ת חוצות כרמיאל,כרמיאל,2165006.0,32.92901620038814,35.325641428071066,-3.4448697186992687,8068
shu_212,שלי חיפה- ורדיה,שופרסל,שופרסל שלי,212.0,ורדיה 10,חיפה,3465710.0,32.7949865,34.9963889,6.295649654542647,6426
shu_214,יוניברס קרית גת- מלכי ישראל,שופרסל,יוניברס,214.0,מלכי ישראל 178,קרית גת,8205002.0,31.603493329908446,34.75683013181416,-3.1843286984674553,8106
shu_215,דיל בית שאן-ירושלים הבירה,שופרסל,שופרסל דיל,215.0,ירושלים הבירה,בית שאן,10900.0,32.4953548,35.4972484,-2.9997052214022624,6223
shu_216,שלי הוד השרון,שופרסל,שופרסל שלי,216.0,2 הנשיאים,הוד השרון,0.0,32.16455867150475,34.90719852153541,6.533868006245155,6236
shu_218,יוניברס עפולה- יצחק רבין,שופרסל,יוניברס,218.0,שד' יצחק רבין 5,עפולה,1834171.0,32.6229362,35.3154373,-2.8326451275926425,9018
shu_219,יש חסד בני ברק- עזרא,שופרסל,יש חסד,219.0,עזרה בני ברק,בני ברק,5155103.0,32.07937035994891,34.83843575221792,-7.090151149319626,5230
shu_222,"דיל רמות ב""ש ב'",שופרסל,שופרסל דיל,222.0,הערים התאומות 28,באר שבע,,31.2822648,34.80047930000001,-2.6215540550781213,7984
shu_224,"אקספרס ראשל""צ-נווה דקלים",שופרסל,שופרסל אקספרס,224.0,נווה דקלים 44,ראשון לציון,,31.9793122,34.7610407,10.09370279306874,3571
shu_226,דיל כרמיאל,שופרסל,שופרסל דיל,226.0,ההגנה 2,כרמיאל,0.0,32.905123868823516,35.281619728131595,-2.9782323379019098,6820
shu_227,דיל-איקאה קרית אתא,שופרסל,שופרסל דיל,227.0,דרך חיפה 52,קרית אתא,0.0,32.808657,35.075575,-2.2331152693184264,8977
shu_228,שלי בנימינה - הגביע,שופרסל,שופרסל שלי,228.0,הגביע 1,בנימינה,3056601.0,32.5175279,34.9403751,6.313563523547664,6300
shu_229,"דיל ת""א- יגאל אלון",שופרסל,שופרסל דיל,229.0,יגאל אלון 76,תל אביב יפו,6706701.0,32.0654728,34.793731,-2.5807009532843583,8457
shu_230,"שלי כ""ס- ויצמן",שופרסל,שופרסל שלי,230.0,ויצמן 29,כפר סבא,4435227.0,32.1744564,34.9117835,6.470175383361568,4946
shu_231,אקספרס רעננה- רבקה גרובר,שופרסל,שופרסל אקספרס,231.0,רבקה גובר  7,רעננה,0.0,32.1939468,34.8503227,8.918833075060231,4250
