store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
shu_222,"דיל רמות ב""ש ב'",שופרסל,שופרסל דיל,222,הערים התאומות 28,באר שבע,,31.2822648,34.8004793,-3.786834496,3203
shu_224,"אקספרס ראשל""צ-נווה דקלים",שופרסל,שופרסל אקספרס,224,נווה דקלים 44,ראשון לציון,,31.9793122,34.7610407,11.98956304,2031
shu_226,דיל כרמיאל,שופרסל,שופרסל דיל,226,ההגנה 2,כרמיאל,0,32.90512387,35.28161973,-4.128690083,2805
shu_227,דיל-איקאה קרית אתא,שופרסל,שופרסל דיל,227,דרך חיפה 52,קרית אתא,0,32.808657,35.075575,-3.757982145,3347
shu_228,שלי בנימינה - הגביע,שופרסל,שופרסל שלי,228,הגביע 1,בנימינה,3056601,32.5175279,34.9403751,6.569055648,3098
shu_229,"דיל ת""א- יגאל אלון",שופרסל,שופרסל דיל,229,יגאל אלון 76,תל אביב יפו,6706701,32.0654728,34.793731,-3.962730582,3211
shu_230,"שלי כ""ס- ויצמן",שופרסל,שופרסל שלי,230,ויצמן 29,כפר סבא,4435227,32.1744564,34.9117835,6.450207186,2652
shu_231,אקספרס רעננה- רבקה גרובר,שופרסל,שופרסל אקספרס,231,רבקה גובר  7,רעננה,0,32.1939468,34.8503227,11.31931964,2260
shu_232,שלי צפת- מ.מסחר רמת רזים,שופרסל,שופרסל שלי,232,מרכז מסחרי רמת,צפת,1341219,32.9580793,35.498291,6.61916526,3078
shu_234,יש חסד רסידו,שופרסל,יש חסד,234,נהר הירדן,בית שמש,9902101,31.7363907,34.9929427,-14.38830314,1427
shu_238,דיל באר יעקב,שופרסל,שופרסל דיל,238,רח' שא - נס 17,באר יעקב,0,31.94197637,34.83391427,-4.057996366,2866
shu_239,אקספרס יפו- הדרור,שופרסל,שופרסל אקספרס,239,הדרור 2,תל אביב יפו,0,32.05108468,34.75386768,11.92542156,1924
shu_240,דיל רהט,שופרסל,שופרסל דיל,240,מרכז מסחרי רהט,רהט,8535700,31.39467,34.7538711,-2.720637989,3209
shu_241,יוניברס בני ברק איילון,שופרסל,יוניברס,241,"הלח""י 28",בני ברק,5120045,32.10297958,34.83670993,-5.12204734,2748
shu_244,יוניברס גלילות רמתהשרון,שופרסל,יוניברס,244,צומת גלילות,רמת השרון,47100,32.1464078,34.8041896,-5.360365354,2695
shu_245,דיל ירושלים- פסגת זאב,שופרסל,שופרסל דיל,245,שד' משה דין 106,ירושלים,9783701,31.82433568,35.23726817,-4.215839099,2687
shu_247,שלי חולון- רבינוביץ,שופרסל,שופרסל שלי,247,רבינוביץ 58,חולון,5867256,31.9970439,34.773446,6.937260349,3511
shu_248,"דיל ב""ש- נווה מנחם",שופרסל,שופרסל דיל,248,החשמונאים 15,באר שבע,8452015,31.26761,34.760164,-3.842218724,3147
shu_249,דיל נתניה- פולג,שופרסל,שופרסל דיל,249,גיבורי ישראל 5,נתניה,4250409,32.321458,34.853196,-4.278969663,2677
shu_250,קריית שמונה,שופרסל,שופרסל דיל,250,"צומת המצודות, קריית שמונה",קרית שמונה,1162401,33.2229782,35.576867,-4.040711611,3083
shu_251,יוניברס עפולה- כורש,שופרסל,יוניברס,251,כורש 5,עפולה,1831007,32.6099152,35.2937306,-4.97439768,3292
shu_254,דיל כרמי גת,שופרסל,שופרסל דיל,254,1 אבני חושן,קרית גת,0,31.62500034,34.77613711,-3.620691111,3502
shu_255,דיל כפר תבור,שופרסל,שופרסל דיל,255,4 רחוב הבזלת,כפר תבור,0,32.6949958,35.4186058,-3.999900876,2705
shu_259,"יוניברס גזית כ""ס- ויצמן",שופרסל,יוניברס,259,ויצמן 300 מתחם G,כפר סבא,4439656,32.1725965,34.9295905,-5.383803408,2673
shu_260,דיל ירושלים-קניון תלפיות,שופרסל,שופרסל דיל,260,האומן 17,ירושלים,9342111,31.75080622,35.20910449,-3.942951485,3265
shu_262,שלי מזכרת בתיה- בגין,שופרסל,שופרסל שלי,262,שד' מנחם בגין 2,מזכרת בתיה,7680400,31.8501486,34.8405332,5.141567896,2593
shu_263,שופרסל אקספרס מקס ברוד,שופרסל,שופרסל אקספרס,263,רח' מקס ברוד 34,תל אביב יפו,0,32.1269193,34.8299441,11.38207538,2618
shu_265,אקספרס חולון - זלמן ארן,שופרסל,שופרסל אקספרס,265,זלמן ארן 1,חולון,0,32.0202794,34.7679239,11.44141859,1905
shu_267,דיל קצרין- חרמון,שופרסל,שופרסל דיל,267,חרמון 7 א ת.,קצרין,1290000,32.99083,35.7086193,-3.769876608,3180
