store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
car_830,קרפור גולן רעננה,קרפור,קרפור,,אחוזה 198,רעננה,4355801.0,32.1827356,34.8657024,0.7086801063399819,1523
car_850,מגה מרכז מסחרי קרית,קרפור,מגה,,1 התקומה,רעננה,4353501.0,32.1923797,34.8745337,4.907489400209366,2470
car_870,סיטי ותיקים רעננה,קרפור,קרפור סיטי,870.0,11 ההסתדרות,רעננה,4345605.0,32.1860931,34.8763149,3.6150439232775886,2193
car_906,סיטי מרכז נתניה,קרפור,קרפור סיטי,906.0,שטמפר,נתניה,4240223.0,32.3280827,34.8539921,4.872879821600171,2666
car_914,סיטי נווה אביבים תא,קרפור,קרפור סיטי,914.0,13 אופנהיימר,תל אביב יפו,6939513.0,32.1201658,34.7997804,5.143682126743511,2782
car_981,מגה אזורים נתניה,קרפור,מגה,,14 גרינבאום יצחק,נתניה,4246514.0,32.2950621,34.8505542,4.731545590978778,2657
mah_001,"1 ב""ש-בית אשל",מחסני השוק,מחסני השוק,1.0,בית אשל 1,באר שבע,,31.239921,34.7939865,-24.42149152339416,2878
mah_011,11  עין יהב,מחסני השוק,מחסני השוק בסיטי,11.0,ד.נ.ערבה 86820,עין יהב,,30.6567034,35.2334266,-18.36128482938331,2617
mah_015,"15  שכונה ט ב""ש",מחסני השוק,מחסני השוק בסיטי,15.0,שד` ירושלים 10,באר שבע,,31.245752,34.771617,-20.48733554805003,2865
mah_016,"16 יעלים ב""ש",מחסני השוק,מחסני השוק בסיטי,16.0, ,באר שבע,,31.2509597,34.7796984,-21.86701754146867,2602
mah_018,18 נוף הגליל,מחסני השוק,מחסני השוק,18.0, ,נוף הגליל,,32.7035785,35.3186256,-24.09577040717531,2887
mah_020,20 להבים,מחסני השוק,מחסני השוק,20.0,מרכז מסחרי להבים ,להבים,,31.3733931,34.8092845,-24.402626137435522,2885
mah_026,"26  רמות- ב""ש",מחסני השוק,מחסני השוק בסיטי,26.0,מנחם דידנר 18,באר שבע,,31.2804515,34.8041813,-4.504684862696981,2556
mah_030,"30 נווה זאב- ב""ש",מחסני השוק,מחסני השוק בסיטי,30.0,מאפו 7,באר שבע,,31.23426599999999,34.768057,-18.741553830884186,2667
mah_035,35 שלומי,מחסני השוק,מחסני השוק בסיטי,35.0,ההשראה 2,שלומי,,33.0754389,35.1450494,-21.21289307175287,2666
mah_036,36 עפולה ביהח העמק,מחסני השוק,מחסני השוק בסיטי,36.0,יצחק רבין 21,פרדס חנה כרכור,1834111.0,32.621521714497554,35.317284101725456,-25.09023208685171,2288
mah_040,40 אופקים,מחסני השוק,מחסני השוק,40.0,יהדות דרום אפריקה 14,אופקים,87573.0,31.3152192,34.6247327,-24.551840977678918,2866
mah_041,41 אופקים אזור תעשיה,מחסני השוק,מחסני השוק,41.0,שדרות יהדות דרום אפריקה 14,אופקים,0.0,31.315346322776204,34.62468190467515,-24.639076603299824,2730
mah_044,44 ערד,מחסני השוק,מחסני השוק,,שמיר 5,ערד,,31.26125469999999,35.2152179,-24.75312302032088,2847
mah_045,45 מיתרים,מחסני השוק,מחסני השוק בסיטי,45.0,אזור תעשיה הר חרמ 1,מיתרים,,31.375119581811,35.0067509528218,-20.613823321997632,2705
mah_050,"50 רד""ק- ב""ש",מחסני השוק,מחסני השוק בסיטי,50.0,"רחבת רד""ק 28",באר שבע,,31.2521018,34.7867691,-19.24120432101458,2553
mah_051,51 חיפה - נשר,מחסני השוק,מחסני השוק,51.0,דרך בר יהודה http 147,נשר,,32.7785192,35.0406357,-24.352474034379167,2864
mah_052,52 מודיעין,מחסני השוק,מחסני השוק בסיטי,52.0,עמק דותן 24,מודיעין מכבים רעות,,31.8991267,35.0209953,-20.62345429153658,2698
mah_054,54 רחובות - הנשיא,מחסני השוק,מחסני השוק בסיטי,54.0, ,רחובות,,31.8981815,34.8215989,-18.42996466698058,2675
mah_055,55  יד בנימין,מחסני השוק,מחסני השוק בסיטי,55.0,מרכז מסחרי 1,יד בנימין,,31.792365,34.8241596,-22.51574834782585,2566
mah_058,"58 סניף אורגים- ב""ש",מחסני השוק,מחסני השוק,58.0,האורגים http://ww 1,באר שבע,,31.2543238,34.8183187,-24.35065084255492,2937
mah_059,59 יקנעם,מחסני השוק,מחסני השוק,59.0,התמר 1,יקנעם,,32.6592962,35.1045404,-24.26940640085739,2803
mah_060,60 דימונה,מחסני השוק,מחסני השוק,60.0,מרכז פרץ סנטר ,דימונה,,31.060612403611987,35.020142038359246,-24.303534906369965,2899
mah_061,61 דימונה ממשית,מחסני השוק,מחסני השוק,,תל לכיש 6,דימונה,,31.060269211788118,35.03529194277279,-24.3623172864668,2751
mah_065,65 קרית אתא,מחסני השוק,מחסני השוק בסיטי,65.0,חנקין 1,קרית אתא,28212.0,32.8125999,35.1053976,-19.95446549081721,2661
mah_066,66 צופים,מחסני השוק,מחסני השוק בסיטי,66.0, ,צופים,,32.197318,35.008912,-19.474961630478155,2504
mah_071,71 קריית מלאכי,מחסני השוק,מחסני השוק בסיטי,71.0,"צה""ל 1",קרית מלאכי,,31.793440697338085,34.63994849453074,-19.965375614412405,2674
mah_072,72 הפלמח (ג) אשדוד,מחסני השוק,מחסני השוק מהדרין,72.0,"הפלמ""ח 20",אשדוד,77376.0,31.800443512273272,34.66238003685925,-24.479321031508093,2299
mah_075,75 טבריה הדר,מחסני השוק,מחסני השוק,75.0,יהודה הלוי 113,טבריה,14246.0,32.7895736,35.5318199,-25.077795238363116,2680
mah_076,76 צפת,מחסני השוק,מחסני השוק,76.0,לוחמי הגטאות 1,צפת,13401.0,32.964648,35.495997,-24.432293654598418,2777
mah_077,77 קרית גת,מחסני השוק,מחסני השוק,77.0,דרך הדרום http:// 1,קרית גת,82021.0,31.6022033,34.7729873,-24.13139606659489,2847
mah_078,78 כפר עציון,מחסני השוק,מחסני השוק,78.0, ,כפר עציון,,31.6543398,35.1177985,-24.613733284012635,2591
mah_080,"80 המשחררים-ב""ש",מחסני השוק,מחסני השוק בסיטי,80.0,דרך המשחררים 100,באר שבע,,31.2487005,34.7834716,-18.807255736520666,1969
mah_081,"81 מבצע עובדה- ב""ש",מחסני השוק,מחסני השוק בסיטי,81.0,מבצע עובדה 2,באר שבע,,31.2596827,34.78035,-18.415247522198754,2550
mah_082,"82 קריה חרדית מהדרין ב""ש",מחסני השוק,מחסני השוק,82.0,טולדנו 12,באר שבע,8452311.0,31.267850394480696,34.778129334671746,-23.951626082643212,2650
mah_083,83 גבעת שמואל,מחסני השוק,מחסני השוק בסיטי,83.0, ,גבעת שמואל,,32.077607,34.8469088,-18.71070597752669,2362
mah_091,"91 זבוטינסקי- ת""א",מחסני השוק,מחסני השוק בסיטי,91.0,ז`בוטינסקי 128,רמת גן,52602.0,32.0903051,34.8211636,-18.542286289133884,2489
mah_098,98 אילת,מחסני השוק,מחסני השוק,98.0,הספן 1,אילת,,29.5712356,34.9588279,-35.89031809029643,2818
mah_202,202 בית הכרם ירושלים,מחסני השוק,מחסני השוק בשבילך,202.0,כיכר דניה 1,ירושלים,,31.7804105,35.1885692,-14.455715736020808,2712
mah_203,"203 הפלמ""ח ירושלים",מחסני השוק,מחסני השוק בשבילך,203.0,הפלמח 42,ירושלים,,31.766256,35.2089708,-14.509312628043586,2678
mah_205,205 קרית מנחם ירושלים,מחסני השוק,מחסני השוק בשבילך,205.0,דהומי 6,ירושלים,,31.75671343154569,35.16596771028976,-14.870724361147449,2295
mah_207,207 גבעת זאב- ירושלים,מחסני השוק,מחסני השוק בשבילך,207.0,מרכז מסחרי 1,גבעת זאב,,31.867021509040047,35.14872410987831,-14.931514187496322,2546
mah_211,211 פסגת זאב ירושלים,מחסני השוק,מחסני השוק בשבילך,211.0,שדרקות משה דיין 1,ירושלים,,31.838138170183,35.23439430814793,-14.718157045961734,2593
mah_212,212 תלפיות מזרח ירושלים,מחסני השוק,מחסני השוק בשבילך,212.0,דב גרונר מרכז מסח 2,ירושלים,,31.749309,35.236047,-14.938869751338363,2616
mah_217,217 גבעת שפירא ירושלים,מחסני השוק,מחסני השוק בשבילך,217.0,ההגנה 19,ירושלים,97851.0,31.805577,35.238607,-14.515062674369059,2613
mah_218,218 נווה יעקב ירושלים,מחסני השוק,מחסני השוק מהדרין,218.0,מרכז מסחרי נווה י 1,ירושלים,,31.84122226967315,35.240681481028304,-18.182286674227797,2318
mah_220,220 גבעת אורנים ירושלים,מחסני השוק,מחסני השוק בשבילך,220.0,שי עגנון 20,ירושלים,,31.76146,35.206462,-15.85743524367858,2617
mah_222,222 וולפסון ירושלים,מחסני השוק,מחסני השוק בשבילך,222.0, ,ירושלים,,31.756478,35.1660279,-14.228945186786666,2641
mah_223,223 פסגת זאב מזרח ירושלים,מחסני השוק,מחסני השוק בשבילך,223.0,מאיר גרשון פ.יוסף 3/1,ירושלים,,31.819819,35.245497,-14.034923116370303,2690
mah_230,230 קייזר מודיעין בשבילך,מחסני השוק,מחסני השוק בשבילך,230.0,גינת זבולון קייזר 24,מודיעין מכבים רעות,,31.9073565,34.9980728,-14.126437024672121,2669
mah_238,238 קריית ים שרת,מחסני השוק,מחסני השוק בשבילך,238.0,משה שרת 2,קרית ים,,32.851004,35.070244,-15.002479659722304,2288
mah_239,239 קצרין,מחסני השוק,מחסני השוק בשבילך,239.0,קניון לב קצרין 1,קצרין,,32.9938584,35.690649,-16.327526341948204,2581
